,Year,Month,Mean Temp (°C),Date/Time
632,1989,SEP,15.7,1989-09
633,1989,OCT,9.8,1989-10
634,1989,NOV,1.9,1989-11
635,1989,DEC,-10.1,1989-12
636,1990,JAN,-0.8,1990-01
637,1990,FEB,-3.5,1990-02
638,1990,MAR,0.7,1990-03
639,1990,APR,8.3,1990-04
640,1990,MAY,11.6,1990-05
641,1990,JUN,18.7,1990-06
642,1990,JUL,20.9,1990-07
643,1990,AUG,20.3,1990-08
644,1990,SEP,15.3,1990-09
645,1990,OCT,9.5,1990-10
646,1990,NOV,4.6,1990-11
647,1990,DEC,-1.0,1990-12
648,1991,JAN,-5.7,1991-01
649,1991,FEB,-2.4,1991-02
650,1991,MAR,1.6,1991-03
651,1991,APR,8.7,1991-04
652,1991,MAY,16.3,1991-05
653,1991,JUN,20.0,1991-06
654,1991,JUL,21.7,1991-07
655,1991,AUG,21.1,1991-08
656,1991,SEP,14.9,1991-09
657,1991,OCT,10.4,1991-10
658,1991,NOV,2.4,1991-11
659,1991,DEC,-2.4,1991-12
660,1992,JAN,-4.2,1992-01
661,1992,FEB,-3.9,1992-02
662,1992,MAR,-1.1,1992-03
663,1992,APR,5.6,1992-04
664,1992,MAY,12.3,1992-05
665,1992,JUN,16.4,1992-06
666,1992,JUL,18.0,1992-07
667,1992,AUG,17.9,1992-08
668,1992,SEP,14.7,1992-09
669,1992,OCT,7.4,1992-10
670,1992,NOV,2.8,1992-11
671,1992,DEC,-1.6,1992-12
672,1993,JAN,-4.0,1993-01
673,1993,FEB,-8.4,1993-02
674,1993,MAR,-2.0,1993-03
675,1993,APR,6.6,1993-04
676,1993,MAY,12.1,1993-05
677,1993,JUN,17.1,1993-06
678,1993,JUL,21.7,1993-07
679,1993,AUG,21.1,1993-08
680,1993,SEP,13.6,1993-09
681,1993,OCT,7.9,1993-10
682,1993,NOV,3.1,1993-11
683,1993,DEC,-2.7,1993-12
684,1994,JAN,-12.4,1994-01
685,1994,FEB,-8.3,1994-02
686,1994,MAR,-0.8,1994-03
687,1994,APR,7.3,1994-04
688,1994,MAY,11.8,1994-05
689,1994,JUN,19.1,1994-06
690,1994,JUL,21.5,1994-07
691,1994,AUG,18.7,1994-08
692,1994,SEP,15.9,1994-09
693,1994,OCT,10.0,1994-10
694,1994,NOV,5.4,1994-11
695,1994,DEC,-0.1,1994-12
696,1995,JAN,-3.1,1995-01
697,1995,FEB,-7.3,1995-02
698,1995,MAR,1.9,1995-03
699,1995,APR,4.1,1995-04
700,1995,MAY,13.3,1995-05
701,1995,JUN,19.9,1995-06
702,1995,JUL,21.9,1995-07
703,1995,AUG,21.8,1995-08
704,1995,SEP,14.0,1995-09
705,1995,OCT,11.0,1995-10
706,1995,NOV,1.0,1995-11
707,1995,DEC,-5.1,1995-12
708,1996,JAN,-6.7,1996-01
709,1996,FEB,-5.8,1996-02
710,1996,MAR,-2.8,1996-03
711,1996,APR,4.4,1996-04
712,1996,MAY,11.6,1996-05
713,1996,JUN,18.6,1996-06
714,1996,JUL,19.6,1996-07
715,1996,AUG,20.7,1996-08
716,1996,SEP,16.5,1996-09
717,1996,OCT,9.2,1996-10
718,1996,NOV,0.9,1996-11
719,1996,DEC,-0.4,1996-12
720,1997,JAN,-6.4,1997-01
721,1997,FEB,-3.2,1997-02
722,1997,MAR,-1.4,1997-03
723,1997,APR,5.8,1997-04
724,1997,MAY,9.6,1997-05
725,1997,JUN,19.8,1997-06
726,1997,JUL,20.9,1997-07
727,1997,AUG,19.0,1997-08
728,1997,SEP,15.5,1997-09
729,1997,OCT,9.5,1997-10
730,1997,NOV,2.5,1997-11
731,1997,DEC,-0.9,1997-12
732,1998,JAN,-2.2,1998-01
733,1998,FEB,-0.3,1998-02
734,1998,MAR,2.1,1998-03
735,1998,APR,8.6,1998-04
736,1998,MAY,17.0,1998-05
737,1998,JUN,18.9,1998-06
738,1998,JUL,21.2,1998-07
739,1998,AUG,21.7,1998-08
740,1998,SEP,18.2,1998-09
741,1998,OCT,10.8,1998-10
742,1998,NOV,4.9,1998-11
743,1998,DEC,0.7,1998-12
744,1999,JAN,-6.2,1999-01
745,1999,FEB,-1.6,1999-02
746,1999,MAR,0.2,1999-03
747,1999,APR,8.1,1999-04
748,1999,MAY,15.5,1999-05
749,1999,JUN,20.4,1999-06
750,1999,JUL,24.3,1999-07
751,1999,AUG,20.3,1999-08
752,1999,SEP,18.0,1999-09
753,1999,OCT,9.4,1999-10
754,1999,NOV,5.8,1999-11
755,1999,DEC,-0.7,1999-12
756,2000,JAN,-5.8,2000-01
757,2000,FEB,-3.1,2000-02
758,2000,MAR,4.5,2000-03
759,2000,APR,6.7,2000-04
